Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated							
Data on the margins – Data from LGBTIQ+ Populations in European Social Science Data Archives	https://doi.org/10.5334/dsj-2024-039	Report, Guide and Handbook, Finding Aid	"Recker, Jonas, and Anja Perry. 2024. ""Data on the Margins – Data from LGBTIQ+ Populations in European Social Science Data Archives."" Data Science Journal 23 39. doi: https://doi.org/10.5334/dsj-2024-039."	2024			Anja Perry, Jonas Recker	GESIS - Leibniz Institute for the Social Sciences	"A first step towards identifying and closing data gaps is to take stock of data that already exists. For this dataset, we collected LGBTIQ+ data in European social science archives. We researched all data archives of CESSDA ERIC, the Consortium of European Social Science Data Archives, and found 66 LGBTIQ+ datasets in 9 of the 34 member and partner archives. Besides basic information to identify the datasets and their locations, we recorded temporal and spatial coverage, LGBTIQ+ identities sampled, access category, and keywords.; In a separate dataset we take a closer look at the datasets’ keywords. We recorded information about language and whether a given keyword is related to LGBITQ+ identities. To describe the topics covered in the studies, the keywords were mapped to the CESSDA Topic Classification. A sentiment analysis with SentiStrength classifies whether a keyword has negative or positive/neutral sentiment."		No			Europe			English	Health and Gender Identity, Opinions and Social Attitudes	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons, nonbinary	No		22/05/2025							
Discrimination Against Gay Men and Lesbians 1993	http://doi.org/10.5255/UKDA-SN-3553-1	Dataset	Thomson, K. (1997). Discrimination Against Gay Men and Lesbians, 1993. [data collection]. UK Data Service. SN: 3553, DOI: http://doi.org/10.5255/UKDA-SN-3553-1	1997	1993	1993		UK Data Archive	The study was designed to take an unbiased and comprehensive look at the nature of discrimination against gay men and lesbians in Britain today, through a random sample survey of gays/lesbians and of heterosexuals. There was also a follow-up qualitative study of gays and lesbians, but only data from the random sample survey are held at The Data Archive.This survey is a follow-up to the National Survey of Sexual Attitudes and Lifestyles, held at The Data Archive under SN:3434. The two datasets can be linked via serial number.	Mixed	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Family and Marriage, Criminal Justice, Socio-economic-cultural, Opinions and Social Attitudes, Health, Discrimination	abortion, youth, employment, attitudes, children, criminal law, discrimination, family and marriage, healthcare, gender roles, housing, domestic violence, marital status, medicine, relationship, reproductive health, sexual behavior, sexual orientation, gender identity, social justice, law enforcement, finance and financial institutions, discrimination, gay, lesbians, income and wealth	No		23/05/2025							
Do LGBTQIA+ people face EU labour market discrimination?	https://www.bruegel.org/blog-post/do-lgbtqia-people-face-eu-labour-market-discrimination	Blog	Schraepen, T. (2022) ‘Do LGBTQIA+ people face EU labour market discrimination?’, Bruegel Blog, 26 September 	2022				Bruegel						Europe			English	Discrimination	discrimination, employment, labor	No		24/05/2025							
Economic inclusion of LGBTI groups in Thailand (Vol. 1 of 2) : main report 	http://documents.worldbank.org/curated/en/543081526666572217	Report	Economic inclusion of LGBTI groups in Thailand (Vol. 1 of 2) : executive summary (English). Washington, D.C. : World Bank Group. http://documents.worldbank.org/curated/en/543081526666572217				World Bank	World Bank	"Thailand is widely considered progressive among developing and middle-income countriesregarding the inclusion of lesbian, gay, bisexual, transgender, or intersex (LGBTI) people. Yet,a growing body of research shows they still experience discrimination, limited job and housingopportunities, and barriers to accessing many common services. Most information on sexual orientation and gender identity (SOGI) in Thailand is qualitative in nature. A new study led by the World Bank, in partnership with Thammasat University, Love Frankie, and the Nordic Trust Fund, includes the first endeavor to gather and analyze quantitative data on economic and financial outcomes for a large, statistically significant sample of LGBTI people in Thailand. Qualitative data from in-depth ""live story"" interviews with 19 SOGI-diverse participants from across each of Thailand's main regions complement the online survey data and provide further insights into the lives of LGBTI respondents. For the first time in Thailand, the study also presents information on non-LGBTI people and their attitudes toward LGBTI groups, based on survey responses from a statistically representative non-LGBTI reference group."	Mixed			Thailand	South-eastern Asia			English, Thai	Sexuality and Gender Identity	discrimination, employment, gay, transgender people, bisexuals, social policy, lgbt or lgbti, intersex people, gender identity			24/04/2025							
Economic inclusion of LGBTI groups in Thailand (Vol. 2 of 2) : main report 	http://documents.worldbank.org/curated/en/269041521819512465	Report	Economic inclusion of LGBTI groups in Thailand (Vol. 2 of 2) : main report (English). Washington, D.C. : World Bank Group. http://documents.worldbank.org/curated/en/269041521819512465				World Bank	World Bank	"Thailand is widely considered progressive among developing and middle-income countriesregarding the inclusion of lesbian, gay, bisexual, transgender, or intersex (LGBTI) people. Yet,a growing body of research shows they still experience discrimination, limited job and housingopportunities, and barriers to accessing many common services. Most information on sexual orientation and gender identity (SOGI) in Thailand is qualitative in nature. A new study led by the World Bank, in partnership with Thammasat University, Love Frankie, and the Nordic Trust Fund, includes the first endeavor to gather and analyze quantitative data on economic and financial outcomes for a large, statistically significant sample of LGBTI people in Thailand. Qualitative data from in-depth ""live story"" interviews with 19 SOGI-diverse participants from across each of Thailand's main regions complement the online survey data and provide further insights into the lives of LGBTI respondents. For the first time in Thailand, the study also presents information on non-LGBTI people and their attitudes toward LGBTI groups, based on survey responses from a statistically representative non-LGBTI reference group."	Mixed			Thailand	South-eastern Asia			English, Thai	Sexuality and Gender Identity	discrimination, employment, gay, transgender people, bisexuals, social policy, lgbt or lgbti, intersex people, gender identity			24/04/2025							
Effects of COVID-19 on Livelihood, Health and Psychology of Hijra (Transgender) Population: Insights from Bangladesh	https://doi.org/10.17026/dans-xqs-7r6p	Dataset	"Ridwan Islam Sifat, 2021, ""Effects of COVID-19 on Livelihood, Health and Psychology of Hijra (Transgender) Population: Insights from Bangladesh"", https://doi.org/10.17026/dans-xqs-7r6p, DANS Data Station Social Sciences and Humanities, V1 "	2021	2020	2020	Ridwan Islam Sifat	Data Archiving and Networked Services (DANS)	"Background: The COVID-19 lockdown in Bangladesh has left hijra individuals at an increased risk of poverty and food insecurity due to the economic crisis. The lack of healthcare facilities and lack of awareness raises the looming fear of the budding influence of COVID-19 among the hijra population. COVID-19 challenges the fundamental foundation of the public health system, and now the hijra group is out of the system because of stigma and discrimination.; Methods: This article features three Focus Group Discussions (FGDs) conducted by 23 respondents about their experience during the COVID-19 Pandemic.; Objectives: The following research aimed to understand the health, mental stress, social and economic effects on the lives of deprived and marginalized hijra people in Bangladesh of the COVID-19 lockdown. However, in the aftermath of the pandemic, their disadvantaged and socially excluded status makes hijra population more vulnerable to being affected by the virus and facing the economic and social impacts.; Results: The results reflect the effect of COVID-19 in terms of social, health care and mental health problems on the hijra community in Bangladesh.; Conclusion: The conclusion also presents valuable recommendations for policy practitioners during the COVID-19 situation to support the hijra community. Hijra people are assumed to suffer under the severity of the pandemic even more than the general population due to the intersections between their status as a vulnerable social group, and their high amount of medical risk factors. The COVID-19 pandemic can potentiate these vulnerabilities, add new challenges for hijra individuals, leading to devastating consequences, like severe physical, and mental health issues."	Qualitative	No		Bangladesh	Southern Asia		Individual		Socio-economic-cultural, Health, Discrimination	transgender people, mental health, covid-19, healthcare	No	on Data Station Social Sciences and Humanities. There are only a few excerpts from the FDG. Not a robust dataset.								
Enquête Gai Pied Hebdo 1985. Gay Survey	https://doi.org/10.21410/7E4/OCKOUI	Dataset		2020	1985	1985	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Gai Pied Hebdo 1987. Gay Survey	https://doi.org/10.21410/7E4/PX8LMO	Dataset		2020	1987	1987	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Gai Pied Hebdo 1988. Gay Survey	https://doi.org/10.21410/7E4/N6HB3N	Dataset		2020	1988	1988	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Gai Pied Hebdo 1989. Gay Survey	https://doi.org/10.21410/7E4/ZPJMFD	Dataset		2020	1989	1989	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Gai Pied Hebdo 1990. Gay Survey	https://doi.org/10.21410/7E4/R5FTVL	Dataset		2020	1990	1990	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Gai Pied Hebdo 1991. Gay Survey	https://doi.org/10.21410/7E4/BPHEDW	Dataset		2020	1991	1991	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Gai Pied Hebdo 1992. Gay Survey	https://doi.org/10.21410/7E4/MNJST1	Dataset		2020	1992	1992	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Presse Gaie 1993.  Gay Survey	https://doi.org/10.21410/7E4/JWBINT	Dataset		2020	1993	1993	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. In 1993, the topics covered included the diversity of homosexual and bisexual lifestyles, and the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Enquête Presse Gaie 1995. Gay Survey	https://doi.org/10.21410/7E4/KYFP7A	Dataset		2020	1995	1995	Centre national de la recherche scientifique (CNRS)	Sciences Po (Centre de données socio-politiques CDSP)	In 1985, Michael Pollak initiated a research programme on the impact of AIDS on bisexual and homosexual people. At the time, the latter accounted for half of the AIDS cases recorded in France, hence the advantage of collecting information on their lifestyles in order to develop prevention measures specific to them. From 1992, following the death of Michael Pollack, it was his assistant, Marie-Ange Schiltz, who headed the survey. It is important to note that it is always hard to study a minority social group, because one generally encounters problems of representativeness and sample size. At the time, homosexuals as a social group were a stigmatised minority, for whom criteria of belonging were not visible. These difficulties explain the decision to conduct repeated surveys, distributed through the press, which made it possible to recruit a large number of respondents quickly and at relatively little cost. This research focused on studying two distinct, but intimately linked problems: the management of a socially frowned upon sexual identity, and anxiety over the health risk, which was reinforced by medical powerlessness. Indeed, at the time, the perception of a deviancy linked with sexual orientation combined with the experience of seropositivity and stigmatisation that could be linked with it. In order to design and assess a policy of prevention appropriate to male bisexuals and homosexuals, it was necessary to find out about the sexual practices and social representations of that population. The Gai Pied Hebdo surveys, and then the Presse Gaie surveys, form the central component of this research programme. The 1995 survey took up the topics tackled in the previous surveys: the diversity of homosexual and bisexual lifestyles, as well as the level of tolerance among heterosexuals towards homosexuals. In addition, the questionnaire raised the issue of rationalising sexual behaviours in order to reduce the risk of infection by the AIDS virus. The survey also sought to analyse the spread of “safer sex” among homosexuals.	Quantitative	No		France	Western Europe		Individual	French	Health and Gender Identity	gender identity, bisexuals, health, healthcare, sexual behavior, sexual orientation, attitudes, homosexual, living open and daily life, homosexuality, gay, stigma, lgbt or lgbti, hiv/aids, hiv-positive persons	Yes	There are 4 restricted files in this dataset.	21/05/2025							
Equal and unequal? Living conditions of gays, bisexual and transgenders 2009	https://dx.doi.org/10.5279/dk-sa-dda-25575	Dataset		2009	2009	2009	Henning Hansen	Data Archiving and Networked Services (DANS)	The survey was conducted as a questionnaire survey among homosexuals, bisexuals and transgender people. It uncovers areas such as sexual orientation, psychological and sexual well-being, social relationships and security, health, exercise, smoking and alcohol habits, as well as any abuse problems. In order to make the study comparable to other similar studies of the entire Danish population’s living conditions, it has chosen to be closely aligned with the Danish SUSY surveys in relation to content, questions and answer options.	Quantitative			Denmark	Northern Europe		Individual	Danish	Sexuality and Gender Identity, Socio-economic-cultural, Discrimination, Health	discrimination, hate crimes, sexual orientation, religion, domestic violence, sexual behavior, gender identity, lgbt or lgbti, homosexuality, homosexual, transgender people, bisexuals, suicide, health	No		24/04/2025							
Equality data collection in the EU	https://www.humanconsultancy.com/projects/equality-data-collection-in-the-eu	Project or Pilot						Human European Consultancy	The purpose of the project is to provide the European Commission with analysis and relevant information on the national legal framework, policies and activities in the field of equality data collection in the EU Member States and to provide the European Commission and other stakeholders with recommendations to improve equality data collection efforts. The project covers the grounds of age, ethnic or racial origin, sexual orientation, gender identity, disability, religion or belief and multiple grounds. In the framework of the project we have produced a country overview of existing legal frameworks and practices for each of the EU Member States and two specific reports focusing on data collection on ethnicity and LGBTI at EU level, as well as an update the 2007 “European Handbook on Equality Data” and a comparative report of equality data collection in the EU Member States.					Europe			English	Discrimination, Social Justice and Equality	discrimination, equality and inequality	No		24/05/2025							
Equality of Opportunity for Sexual and Gender Minorities (EQOSOGI) (2021) 	https://datacatalog.worldbank.org/search/dataset/0064183/Equality-of-Opportunity-for-Sexual-and-Gender-Minorities--EQOSOGI--	Dataset		2021	2020	2021	World Bank	World Bank	"The Equality of Opportunity for Sexual and Gender Minorities (EQOSOGI) is the first in a series of studies assessing laws and regulations that affect the lives of sexual and gender minorities in an initial set of 16 countries in six important areas of their life: education, employment, access to public services and social protection, civil and political inclusion, protection from hate crimes, and from being criminalized. Laws and regulations that discriminate against sexual and gender minorities not only impede social and economic prosperity for the individuals concerned, but can limit a country’s wider economic prosperity and development. The EQOSOGI data in this dataset were collected in 2020 in 16 pilot countries covering a range of World Bank regions and income groups. The second round of data will be collected in 2023 and include the 16 original countries and add data for an additional 46 countries. The EQOSOGI project aims to continue expanding its dataset to more countries in the future and also set up a historical data panel showing the path of reform over multiple years. As the dataset grows, it will allow for simple correlation analysis to compare the EQOSOGI data on laws and regulations with measures of economic growth and prosperity. ; Data are collected across six dimensions (“indicator sets”) which consist of questions on various aspects of the law that are scored based on Yes/No answers. Scoring and further methodological details can be found in the cover page (first sheet) of the dataset. The six aforementioned indicator sets are: Criminalization and SOGI; Access to inclusive education; Access to the labor market; Access to public services and social protection; Civil and political inclusion; Protection from hate crimes. These six indicator sets aim to cover laws and regulations giving rise to or prohibiting discriminatory treatment on the basis of sexual orientation, gender identity, gender expression, and/or sex characteristics as well as policies and other enforcement mechanisms that implement existing antidiscrimination laws."	Quantitative	No		Mexico, Uruguay, Japan, Bangladesh, Costa Rica, South Africa, Indonesia, Lebanon, Jamaica, Nigeria, India, Mozambique, Tunisia, Canada, Ukraine, Kosovo	Northern America, Latin America and the Caribbean, Asia, Europe, Africa, Americas	Nation	Text Unit	English	Sexuality and Gender Identity, Socio-economic-cultural, Law and Policy, Criminal Justice, Discrimination	law and legislation, gender expression, discrimination, transgender people, gender roles, social exclusion, economics, gender identity, bisexuals, sexual minorities, sexual orientation, hate crimes, education	No	there is a report entry	24/04/2025							
